Link|workID|oaiID|Title|Authors|Publication
https://core.ac.uk/works/41261519/|"oai:ir.nmu.org.ua:123456789\/149030"||Programming Languages|Isakova M.L., Ogeenko P.Y., Sidorina Vadim|2017-12-03T01:44:38
https://core.ac.uk/works/17201167/|"oai:doaj.org\/article:eebc7cfa14e14a01b2db85f3914ea1e8","oai:arxiv.org:1406.2060"|10.4204/eptcs.153.7|Polymonadic Programming|Bierman Gavin, Guts Nataliya, Hicks Michael, Leijen Daan, Swamy Nikhil|2014-10-24T19:27:00
https://core.ac.uk/works/945060/|"oai:citeseerx.psu:10.1.1.341.5038","oai:citeseerx.psu:10.1.1.97.9321","oai:arxiv.org:cs\/0412046","oai:citeseerx.psu:10.1.1.14.8282"||Quasiconvex Programming|Eppstein David|2012-04-13T14:21:50
https://core.ac.uk/works/710042/|"oai:arxiv.org:1007.3023"||Purely Functional Structured Programming|Obua Steven|2012-04-13T14:18:06
https://core.ac.uk/works/17028227/|"oai:citeseerx.psu:10.1.1.750.4957","oai:arxiv.org:1212.1269"|10.23919/ecc.2013.6669374|Approximate Dynamic Programming via Sum of Squares Programming|Kamgarpour Maryam, Kariotoglou Nikolaos, Kunz Konstantin, Lygeros John, Summers Sean, Summers Tyler H.|2014-10-23T17:20:53
https://core.ac.uk/works/58978815/|"oai:arxiv.org:1905.07212"||Implementing a Library for Probabilistic Programming using Non-strict   Non-determinism|Christiansen Jan, Dylus Sandra, Teegen Finn|2019-06-02T02:03:52
https://core.ac.uk/works/45153128/|"oai:acikerisim.isikun.edu.tr:11729\/1407","oai:arxiv.org:1710.11559"|10.1109/te.2017.2789183|Implicit Theories and Self-efficacy in an Introductory Programming   Course|Benli Kristin S., Deveci Ezgi, Tek F. Boray|2017-11-21T00:02:31
https://core.ac.uk/works/54153302/|"oai:arxiv.org:1809.08304"||onlineSPARC: a Programming Environment for Answer Set Programming|Marcopoulos Elias, Zhang Yuanlin|2019-02-06T06:42:50
https://core.ac.uk/works/42869231/|"oai:arxiv.org:1705.09413"|10.1145/3015455|Learnable Programming: Blocks and Beyond|Bau David, Gray Jeff, Kelleher Caitlin, Sheldon Josh, Turbak Franklyn|2017-06-19T02:44:28
https://core.ac.uk/works/4645463/|"oai:citeseerx.psu:10.1.1.89.1534","oai:eprints.usq.edu.au:224"|10.1007/11499053_10|A framework for understanding the factors influencing pair programming success|C. Poole, E. Yourdon, F.P. Brooks, G. Rowe, J. Grenning, K. Beck, K.M. Lui, L. Day, L. Williams, L. Williams, R.L. Glass, R.W. Napier|2013-07-08T13:21:37
